name,price,brand,prod_url,img_url
Union Strata 2021,"339,95",Union,/de-DE/product/Union-Strata+2021+Snowboardbindung-618609/?colid=earth,//images.blue-tomato.com/is/image/bluetomato/304272334_front.jpg-LhIloRFvTmu2EQTfNhYVebMRhQ0/DEELUXE+ID+LTD+PF+2021+Snowboardboots.jpg?$b1$
Burton Felix Boa 2021,"79,95",Burton,/de-DE/product/Burton-Felix+Boa+2021+Snowboardboots-623037/,//images.blue-tomato.com/is/image/bluetomato/304070656_front.jpg-6gyIZZAAOoh7n_NvG46q7Y2lLCY/Vans+Hi+Standard+OG+2021+Snowboardboots.jpg?$b1$
Anon Greta 3 Helmet,"389,95",Anon,/de-DE/product/Anon-Greta+3+Helm-626081/?colid=frost+eu,//images.blue-tomato.com/is/image/bluetomato/303994277_front.jpg-1woHxCoWM61B1-a7Kx7tJwyf9Jc/DEELUXE+Team+ID+PF+2020+Snowboardboots.jpg?$b1$
Ride Insano 2021,"129,95",Ride,/de-DE/product/Ride-Insano+2021+Snowboardboots-624685/,//images.blue-tomato.com/is/image/bluetomato/304300402_front.jpg-B5tVevRz81GmWV0U0bSuLsC4_gI/Union+Strata+2021+Snowboardbindung.jpg?$b1$
Roxy Feelin Oxblood Red Leopold,"399,95",Roxy,/de-DE/product/Roxy-Feelin+Oxblood+Red+Leopold+Goggle-615360/,//images.blue-tomato.com/is/image/bluetomato/304002260_front.jpg-rsiszqZrseA_NmKU8DP4nozqq0k/Nitro+Team+TLS+2020+Snowboardboots.jpg?$b1$
Burton Supreme 2021,"279,95",Burton,/de-DE/product/Burton-Supreme+2021+Snowboardboots-623033/,//images.blue-tomato.com/is/image/bluetomato/304342206_front.jpg-oI--iXxk9wEpQZnruN8e49WCrGw/Burton+Cartel+2021+Snowboardbindung.jpg?$b1$
DEELUXE ID LTD. PF 2021,"99,95",DEELUXE,/de-DE/product/DEELUXE-ID+LTD+PF+2021+Snowboardboots-615590/,//images.blue-tomato.com/is/image/bluetomato/304300363_front.jpg-1G_MVxdQHvgh_-45QX7SqvY9Fs8/Union+Atlas+2021+Snowboardbindung.jpg?$b1$
Salomon Spell+ Helmet,"389,95",Salomon,/de-DE/product/Salomon-Spell+Helm-630684/,//images.blue-tomato.com/is/image/bluetomato/304342268_front.jpg-jII2vP9tiVniI6miovxROVf0oH8/Burton+Cartel+X+2021+Snowboardbindung.jpg?$b1$
DEELUXE Team ID PF 2020,"649,95",DEELUXE,/de-DE/product/DEELUXE-Team+ID+PF+2020+Snowboardboots-575649/,//images.blue-tomato.com/is/image/bluetomato/304378534_front.jpg-Vmgdd9SBLdAnSiMu9iHBQ8apuss/Salomon+Pearl+Boa+Snowboard+Boots+2021.jpg?$b1$
Burton Felix Step On 2021,"299,95",Burton,/de-DE/product/Burton-Felix+Step+On+2021-567092/,//images.blue-tomato.com/is/image/bluetomato/304271935_front.jpg-XRbmfq337eMqOzAS1Sjm0u_7_qw/DEELUXE+Deemon+PF+2021+Snowboardboots.jpg?$b1$
Nitro Team TLS 2020,"429,95",Nitro,/de-DE/product/Nitro-Team+TLS+2020+Snowboardboots-576272/,//images.blue-tomato.com/is/image/bluetomato/304318030_front.jpg-x5R0q3N4orrA_r86EnibBk69hhc/Volcom+Stone+Studs+Stomp+Pad.jpg?$b1$
Lib Tech Travis Rice Orca 156 2021,"229,95",Lib Tech,/de-DE/product/Lib+Tech-Travis+Rice+Orca+156+2021+Snowboard-628803/,//images.blue-tomato.com/is/image/bluetomato/304300395_front.jpg-cJmxzKJKoATdUApRzsxAjImB4gw/Union+Falcor+2021+Snowboardbindung.jpg?$b1$
